Client,Bird,Eggs,Price($),Added,HatchRate(%)
Manuel Chapman.,geniue fowl,56,16.8,2018-06-05,83.3
Mary Morgan,turkey,88,35.2,2018-05-17,86.5
Michelle Gutierrez,broiler,411,82.2,2018-05-24,76.1
William Hernandez,duck,156,78,2018-06-07,83.7
Blake Trevino,turkey,157,62.8,2018-01-25,80.2
Greg Thomas,turkey,9,3.6,2018-04-08,52.8
James Fletcher,broiler,462,92.4,2018-05-06,83.2
Jonathan Moore,geniue fowl,201,60.3,2018-03-21,54.3
David Patterson,broiler,287,57.4,2018-05-15,82.1
Hannah Hernandez,road runner,80,8,2018-06-20,72.5
Jamie Brown,broiler,170,34,2018-01-09,71.5
Shawna Reed,turkey,317,126.8,2018-02-13,64.3
Christopher Knight,geniue fowl,73,21.9,2018-06-20,69.6
Michelle Alvarado,turkey,391,156.4,2018-06-11,61.5
Nina Bray,broiler,176,35.2,2018-04-07,70
Chad Perez,broiler,422,84.4,2018-04-13,67.5
Ashley Gaines,duck,319,159.5,2018-03-22,86.5
Gary Santana,geniue fowl,453,135.9,2018-03-04,71.2
Dylan Short,geniue fowl,74,22.2,2018-02-19,81.7
Scott Simmons,geniue fowl,63,18.9,2018-03-17,66.3
Mark Hill,duck,148,74,2018-06-28,56.4
Destiny Ho,road runner,299,29.9,2018-06-23,58.3
Dr. Kelly Ray,road runner,106,10.6,2018-06-15,76.7
Jared Rangel,duck,475,237.5,2018-02-01,85.1
